Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
ATENOR;BE0003837540;ATEB;"Euronext Brussels";EUR;45.20;45.60;44.70;45.10;"06/04/2023 17:35";CET;965;43471.90;-;-
ATLAND;FR0013455482;ATLD;"Euronext Paris";EUR;42.40;42.40;42.20;42.40;"06/04/2023 16:18";CET;118;4988.80;-;-
"ATLANTIC SAPPHIRE";NO0010768500;ASA;"Oslo Børs";NOK;5.50;5.62;5.47;5.47;"05/04/2023 13:06";CET;127700;704709.68;-;-
"ATON GREEN STORAGE";IT0005449464;ATON;"Euronext Growth Milan";EUR;6.80;6.80;6.42;6.50;"06/04/2023 17:35";CET;30000;196400.00;-;-
ATOS;FR0000051732;ATO;"Euronext Paris";EUR;11.05;11.25;10.71;11.175;"06/04/2023 17:36";CET;875589;10083354.33;-;-
AUBAY;FR0000063737;AUB;"Euronext Paris";EUR;47.20;47.20;46.65;47.15;"06/04/2023 17:35";CET;3577;167767.15;-;-
AUDACIA;FR00140059B5;ALAUD;"Euronext Growth Paris";EUR;5.54;5.54;5.52;5.54;"06/04/2023 14:39";CET;334;1847.70;-;-
"AUDIENCE LABS";FR0011896463;MLAUD;"Euronext Access Paris";EUR;2.00;2.00;2.00;2.00;"26/05/2022 14:02";CET;210;420.00;-;-
"AUGROS COSMETICS";FR0000061780;AUGR;"Euronext Paris";EUR;6.65;7.60;6.65;7.60;"06/04/2023 16:30";CET;80;589.00;-;-
"AUPLATA MINING GR";FR0013410370;ALAMG;"Euronext Growth Paris";EUR;0.0066;0.0067;0.0063;0.0064;"06/04/2023 17:35";CET;12864049;82811.63;-;-
AUREA;FR0000039232;AURE;"Euronext Paris";EUR;7.00;7.06;6.82;6.82;"06/04/2023 16:25";CET;262;1841.42;-;-
"AURES TECHNOLOGIES";FR0013183589;ALAUR;"Euronext Growth Paris";EUR;5.80;5.90;5.70;5.78;"06/04/2023 17:29";CET;1996;11511.64;-;-
